filename, Unlabeled, backwardbadposture, forwardbadposture, goodposture
forward_lean_bad_posture-18-_jpg.rf.df0bdf53cf48f249eee253c3473e809e.jpg, 0, 0, 1, 0
good_posture-329-_jpg.rf.debd88714e41d4f5de53dfc6c6ead882.jpg, 0, 0, 0, 1
good_posture-454-_jpg.rf.e0b02152fcdb99522005c47c9cb787f5.jpg, 0, 0, 0, 1
good_posture-364-_jpg.rf.e009bc445ea43b933213686d7fd78c23.jpg, 0, 0, 0, 1
forward_lean_bad_posture-111-_jpg.rf.dec91c3ee8f603665271b9f6372964e4.jpg, 0, 0, 1, 0
good_posture-732-_jpg.rf.e19bfa1fb0dfb1ba502ab58963a95f02.jpg, 0, 0, 0, 1
good_posture-628-_jpg.rf.e24b9e294049bfd233488f27afdaf418.jpg, 0, 0, 0, 1
backward_lean_bad_posture-165-_jpg.rf.e13a87ef12eea5a404373f7213a7a709.jpg, 0, 1, 0, 0
good_posture-645-_jpg.rf.e0a672a325b002d8cd0c252ca241180d.jpg, 0, 0, 0, 1
good_posture-516-_jpg.rf.e18a6ef4b05a0463ef6d9d6e0a706ed4.jpg, 0, 0, 0, 1
good_posture-758-_jpg.rf.e2bd2d905f609d25fa10437d1a0be7ec.jpg, 0, 0, 0, 1
forward_lean_bad_posture-26-_jpg.rf.e1d9b806d9208adb8005fa178df250f7.jpg, 0, 0, 1, 0
forward_lean_bad_posture-37-_jpg.rf.e1cc963282a018d6ad1f7f12d252fc5a.jpg, 0, 0, 1, 0
forward_lean_bad_posture-220-_jpg.rf.e2b089001ad60f3eab5f6e40e2c9354d.jpg, 0, 1, 0, 0
backward_lean_bad_posture-74-_jpg.rf.e2bfc9473bd9aa502381f3718cdbc03f.jpg, 0, 1, 0, 0
forward_lean_bad_posture-20-_jpg.rf.e4d67f356df1ba098ac7619672a73083.jpg, 0, 0, 1, 0
good_posture-463-_jpg.rf.e3962eb14176b85ad54a92734d82f91b.jpg, 0, 0, 0, 1
backward_lean_bad_posture-3-_jpg.rf.e3da6257529afc1cc35d54351f6690da.jpg, 0, 1, 0, 0
forward_lean_bad_posture-188-_jpg.rf.e42c8d7d5e7e42a1891bdfda135f3d1a.jpg, 1, 0, 0, 0
forward_lean_bad_posture-210-_jpg.rf.e35eeeab1527943470af61658cb60024.jpg, 0, 0, 0, 1
forward_lean_bad_posture-9-_jpg.rf.e4ebcd18d6250e6441462e07ff1230dd.jpg, 0, 0, 1, 0
good_posture-591-_jpg.rf.e30af39878745b60a2508cf952d5a478.jpg, 0, 0, 0, 1
good_posture-446-_jpg.rf.e0eb547dd09c642567829507ad737447.jpg, 0, 0, 0, 1
forward_lean_bad_posture-126-_jpg.rf.e39bd580c547469909d0a5761b412094.jpg, 0, 0, 1, 0
backward_lean_bad_posture-137-_jpg.rf.df7604be9ff1825541abc4872811fb9f.jpg, 0, 1, 0, 0
good_posture-764-_jpg.rf.e7118475c9dad8365437b05e21663e4d.jpg, 0, 0, 0, 1
forward_lean_bad_posture-36-_jpg.rf.e55aa332839c51fe66d41b2a1f245903.jpg, 0, 0, 1, 0
backward_lean_bad_posture-170-_jpg.rf.e6aded93499dfc310261116ebcc1d6cc.jpg, 0, 1, 0, 0
good_posture-749-_jpg.rf.e57ea48ffade8f0bfdcc955c4544f031.jpg, 0, 0, 0, 1
good_posture-549-_jpg.rf.e6412c978133aa255195ac38a9479ffd.jpg, 0, 0, 0, 1
backward_lean_bad_posture-219-_jpg.rf.e69e05a66265b7a3fe28da2bae90820c.jpg, 0, 1, 0, 0
backward_lean_bad_posture-198-_jpg.rf.e55095abf3c9bd688b9c05a588f52e9d.jpg, 0, 1, 0, 0
good_posture-307-_jpg.rf.e6575bd85afb18e9f83d5c5336179997.jpg, 0, 0, 0, 1
good_posture-692-_jpg.rf.e939971416037a63b16ee14314e53d38.jpg, 0, 0, 0, 1
good_posture-661-_jpg.rf.e74e8749f206a44f9d064fea041f09e3.jpg, 0, 0, 0, 1
good_posture-464-_jpg.rf.e870f318fcfc84930f9b237577f7f2fc.jpg, 0, 0, 0, 1
good_posture-485-_jpg.rf.e752be33931413d5a8b399a3e94e4106.jpg, 0, 0, 0, 1
good_posture-765-_jpg.rf.e535119d3ac74e27b7488af39a0bb312.jpg, 0, 0, 0, 1
forward_lean_bad_posture-212-_jpg.rf.e86180d61d53d0d72ed6d00f74757152.jpg, 0, 1, 0, 0
good_posture-361-_jpg.rf.e98f475ae83510dd968c89ffb8cf9e36.jpg, 0, 0, 0, 1
backward_lean_bad_posture-7-_jpg.rf.e501c9348e6d644903dddcb7f541d690.jpg, 0, 1, 0, 0
backward_lean_bad_posture-23-_jpg.rf.e57e1618aa8ed5dd75ba9229420aeae3.jpg, 0, 1, 0, 0
backward_lean_bad_posture-192-_jpg.rf.e9e85dde574b6f08e4624d8d38cee559.jpg, 0, 0, 1, 0
good_posture-587-_jpg.rf.ea180bfd1d9176c7509d6b915fede349.jpg, 0, 0, 0, 1
good_posture-621-_jpg.rf.ea55e886f6b3413f4ec04c0571dd4caf.jpg, 0, 0, 0, 1
forward_lean_bad_posture-90-_jpg.rf.eaae341e80003595bafa32fc260a96c9.jpg, 0, 0, 1, 0
backward_lean_bad_posture-12-_jpg.rf.eae5daf46e3610bd54951d1ce32b5043.jpg, 0, 1, 0, 0
backward_lean_bad_posture-8-_jpg.rf.eabbe0bac1413626ecf34e00462a6e21.jpg, 0, 1, 0, 0
good_posture-599-_jpg.rf.ea92055c851c3f91e10e6739e6fb1c05.jpg, 0, 0, 0, 1
forward_lean_bad_posture-50-_jpg.rf.e9a60a029347a9a17e7988b477c77f87.jpg, 0, 0, 1, 0
backward_lean_bad_posture-59-_jpg.rf.eb8f3d36e118343c5c0a0ac038b53b0e.jpg, 0, 1, 0, 0
good_posture-586-_jpg.rf.ebcaedcf33a432b8ab7260afa2f5d41f.jpg, 0, 0, 0, 1
good_posture-529-_jpg.rf.ec695dda77f914441d96d41481282263.jpg, 0, 0, 0, 1
good_posture-311-_jpg.rf.ec0adae140ae66e38b2024015f3940a9.jpg, 0, 0, 0, 1
forward_lean_bad_posture-231-_jpg.rf.ebce4cb1dbe0e826e9adf2d1298f2e01.jpg, 0, 1, 0, 0
